Sony PlayStation || Activision Classics (USA) || Sony/Sony PlayStation/Activision Classics (USA)/Activision Classics (USA).json
Sony PlayStation || Pong - The Next Level (USA) || Sony/Sony PlayStation/Pong - The Next Level (USA)/Pong - The Next Level (USA).json
Sony PlayStation || Project Overkill (USA) || Sony/Sony PlayStation/Project Overkill (USA)/Project Overkill (USA).json
Sony PlayStation || Psychic Detective (USA) || Sony/Sony PlayStation/Psychic Detective (USA)/Psychic Detective (USA).json
Sony PlayStation || R4 - Ridge Racer Type 4 (USA) || Sony/Sony PlayStation/R4 - Ridge Racer Type 4 (USA)/R4 - Ridge Racer Type 4 (USA).json
Sony PlayStation || RMJ - The Mystery Hospital (Japan) || Sony/Sony PlayStation/RMJ - The Mystery Hospital (Japan)/RMJ - The Mystery Hospital (Japan).json
Sony PlayStation || RPG Maker (USA) || Sony/Sony PlayStation/RPG Maker (USA)/RPG Maker (USA).json
Sony PlayStation || Rakugaki Showtime (Japan) || Sony/Sony PlayStation/Rakugaki Showtime (Japan)/Rakugaki Showtime (Japan).json
Sony PlayStation || Rayman (USA) || Sony/Sony PlayStation/Rayman (USA)/Rayman (USA).json
Sony PlayStation || Re-Loaded - The Hardcore Sequel (USA) || Sony/Sony PlayStation/Re-Loaded - The Hardcore Sequel (USA)/Re-Loaded - The Hardcore Sequel (USA).json
Sony PlayStation || Resident Evil (USA) || Sony/Sony PlayStation/Resident Evil (USA)/Resident Evil (USA).json
Sony PlayStation || Resident Evil - Director's Cut (USA) || Sony/Sony PlayStation/Resident Evil - Director's Cut (USA)/Resident Evil - Director's Cut (USA).json
Sony PlayStation || Resident Evil - Director's Cut - Dual Shock Ver. (USA) || Sony/Sony PlayStation/Resident Evil - Director's Cut - Dual Shock Ver. (USA)/Resident Evil - Director's Cut - Dual Shock Ver. (USA).json
Sony PlayStation || Resident Evil - Survivor (USA) || Sony/Sony PlayStation/Resident Evil - Survivor (USA)/Resident Evil - Survivor (USA).json
Sony PlayStation || Resident Evil 1.5 (USA) (Proto) || Sony/Sony PlayStation/Resident Evil 1.5 (USA) (Proto)/Resident Evil 1.5 (USA) (Proto).json
Sony PlayStation || Resident Evil 1.5 (USA) (Proto) (Magic Zombie Door) (03062018) || Sony/Sony PlayStation/Resident Evil 1.5 (USA) (Proto) (Magic Zombie Door) (03062018)/Resident Evil 1.5 (USA) (Proto) (Magic Zombie Door) (03062018).json
Sony PlayStation || Resident Evil 2 (USA) || Sony/Sony PlayStation/Resident Evil 2 (USA)/Resident Evil 2 (USA).json
Sony PlayStation || Resident Evil 2 (USA) (Demo) || Sony/Sony PlayStation/Resident Evil 2 (USA) (Demo)/Resident Evil 2 (USA) (Demo).json
Sony PlayStation || Resident Evil 2 - Dual Shock Ver. (USA) || Sony/Sony PlayStation/Resident Evil 2 - Dual Shock Ver. (USA)/Resident Evil 2 - Dual Shock Ver. (USA).json
Sony PlayStation || Resident Evil 3 - Nemesis (USA) || Sony/Sony PlayStation/Resident Evil 3 - Nemesis (USA)/Resident Evil 3 - Nemesis (USA).json
Sony PlayStation || Rising Zan - The Samurai Gunman (USA) || Sony/Sony PlayStation/Rising Zan - The Samurai Gunman (USA)/Rising Zan - The Samurai Gunman (USA).json
Sony PlayStation || Robo Pit (USA) || Sony/Sony PlayStation/Robo Pit (USA)/Robo Pit (USA).json
Sony PlayStation || Robo Pit 2 (USA) || Sony/Sony PlayStation/Robo Pit 2 (USA)/Robo Pit 2 (USA).json
Sony PlayStation || Rockman (Japan) || Sony/Sony PlayStation/Rockman (Japan)/Rockman (Japan).json
Sony PlayStation || Rockman 2 - Dr. Wily no Nazo (Japan) || Sony/Sony PlayStation/Rockman 2 - Dr. Wily no Nazo (Japan)/Rockman 2 - Dr. Wily no Nazo (Japan).json
Sony PlayStation || Rockman 3 - Dr. Wily no Saigo! (Japan) || Sony/Sony PlayStation/Rockman 3 - Dr. Wily no Saigo! (Japan)/Rockman 3 - Dr. Wily no Saigo! (Japan).json
Sony PlayStation || Rockman 4 - Aratanaru Yabou!! (Japan) || Sony/Sony PlayStation/Rockman 4 - Aratanaru Yabou!! (Japan)/Rockman 4 - Aratanaru Yabou!! (Japan).json
Sony PlayStation || Rockman 5 - Blues no Wana! (Japan) || Sony/Sony PlayStation/Rockman 5 - Blues no Wana! (Japan)/Rockman 5 - Blues no Wana! (Japan).json
Sony PlayStation || Rockman 6 - Shijou Saidai no Tatakai!! (Japan) || Sony/Sony PlayStation/Rockman 6 - Shijou Saidai no Tatakai!! (Japan)/Rockman 6 - Shijou Saidai no Tatakai!! (Japan).json
Sony PlayStation || SaGa Frontier (USA) || Sony/Sony PlayStation/SaGa Frontier (USA)/SaGa Frontier (USA).json
Sony PlayStation || SaGa Frontier 2 (USA) || Sony/Sony PlayStation/SaGa Frontier 2 (USA)/SaGa Frontier 2 (USA).json
Sony PlayStation || Saiyuki - Journey West (USA) || Sony/Sony PlayStation/Saiyuki - Journey West (USA)/Saiyuki - Journey West (USA).json
Sony PlayStation || Santa Claus Saves the Earth (Europe) || Sony/Sony PlayStation/Santa Claus Saves the Earth (Europe)/Santa Claus Saves the Earth (Europe).json
Sony PlayStation || Shadow Madness (USA) || Sony/Sony PlayStation/Shadow Madness (USA)/Shadow Madness (USA).json
Sony PlayStation || Shadow Tower (USA) || Sony/Sony PlayStation/Shadow Tower (USA)/Shadow Tower (USA).json
Sony PlayStation || Sheep (USA) || Sony/Sony PlayStation/Sheep (USA)/Sheep (USA).json
Sony PlayStation || Silent Hill (USA) || Sony/Sony PlayStation/Silent Hill (USA)/Silent Hill (USA).json
Sony PlayStation || SimCity 2000 (USA) || Sony/Sony PlayStation/SimCity 2000 (USA)/SimCity 2000 (USA).json
Sony PlayStation || Space Invaders (USA) || Sony/Sony PlayStation/Space Invaders (USA)/Space Invaders (USA).json
Sony PlayStation || Spawn - The Eternal (USA) || Sony/Sony PlayStation/Spawn - The Eternal (USA)/Spawn - The Eternal (USA).json
Sony PlayStation || Spider-Man (USA) || Sony/Sony PlayStation/Spider-Man (USA)/Spider-Man (USA).json
Sony PlayStation || Spider-Man 2 - Enter - Electro (USA) || Sony/Sony PlayStation/Spider-Man 2 - Enter - Electro (USA)/Spider-Man 2 - Enter - Electro (USA).json
Sony PlayStation || Spin Jam (USA) || Sony/Sony PlayStation/Spin Jam (USA)/Spin Jam (USA).json
Sony PlayStation || Spyro the Dragon (USA) || Sony/Sony PlayStation/Spyro the Dragon (USA)/Spyro the Dragon (USA).json
Sony PlayStation || Squaresoft on PlayStation 1998 Collector's CD Vol. 1 (USA) || Sony/Sony PlayStation/Squaresoft on PlayStation 1998 Collector's CD Vol. 1 (USA)/Squaresoft on PlayStation 1998 Collector's CD Vol. 1 (USA).json
Sony PlayStation || Squaresoft on PlayStation 1998 Collector's CD Vol. 2 (USA) (Final Fantasy VIII Demo) || Sony/Sony PlayStation/Squaresoft on PlayStation 1998 Collector's CD Vol. 2 (USA) (Final Fantasy VIII Demo)/Squaresoft on PlayStation 1998 Collector's CD Vol. 2 (USA) (Final Fantasy VIII Demo).json
Sony PlayStation || Squaresoft on PlayStation 2000 Collector's CD Vol. 3 (USA) || Sony/Sony PlayStation/Squaresoft on PlayStation 2000 Collector's CD Vol. 3 (USA)/Squaresoft on PlayStation 2000 Collector's CD Vol. 3 (USA).json
Sony PlayStation || Squaresoft on PlayStation Previews (USA) (Final Fantasy VII Demo) || Sony/Sony PlayStation/Squaresoft on PlayStation Previews (USA) (Final Fantasy VII Demo)/Squaresoft on PlayStation Previews (USA) (Final Fantasy VII Demo).json
Sony PlayStation || Star Ocean - The Second Story (USA) || Sony/Sony PlayStation/Star Ocean - The Second Story (USA)/Star Ocean - The Second Story (USA).json
Sony PlayStation || Star Wars - Dark Forces (USA) || Sony/Sony PlayStation/Star Wars - Dark Forces (USA)/Star Wars - Dark Forces (USA).json
Sony PlayStation || Steel Harbinger (USA) || Sony/Sony PlayStation/Steel Harbinger (USA)/Steel Harbinger (USA).json
Sony PlayStation || Strider 2 (USA) || Sony/Sony PlayStation/Strider 2 (USA)/Strider 2 (USA).json
Sony PlayStation || Suikoden (USA) (v1.1) || Sony/Sony PlayStation/Suikoden (USA) (v1.1)/Suikoden (USA) (v1.1).json
Sony PlayStation || Suikoden II (USA) || Sony/Sony PlayStation/Suikoden II (USA)/Suikoden II (USA).json
Sony PlayStation || Super Puzzle Fighter II Turbo (USA) || Sony/Sony PlayStation/Super Puzzle Fighter II Turbo (USA)/Super Puzzle Fighter II Turbo (USA).json
Sony PlayStation || Syphon Filter (USA) || Sony/Sony PlayStation/Syphon Filter (USA)/Syphon Filter (USA).json
Sony PlayStation || T.R.A.G. - Mission of Mercy (USA) || Sony/Sony PlayStation/T.R.A.G. - Mission of Mercy (USA)/T.R.A.G. - Mission of Mercy (USA).json
Sony PlayStation || Tales of Phantasia (Japan) || Sony/Sony PlayStation/Tales of Phantasia (Japan)/Tales of Phantasia (Japan).json
Sony PlayStation || Tall - Infinity (USA) || Sony/Sony PlayStation/Tall - Infinity (USA)/Tall - Infinity (USA).json
Sony PlayStation || TechnoMage - Return of Eternity (Europe) || Sony/Sony PlayStation/TechnoMage - Return of Eternity (Europe)/TechnoMage - Return of Eternity (Europe).json
Sony PlayStation || Tecmo's Deception - Invitation to Darkness (USA) || Sony/Sony PlayStation/Tecmo's Deception - Invitation to Darkness (USA)/Tecmo's Deception - Invitation to Darkness (USA).json
Sony PlayStation || Tekken 3 (USA) || Sony/Sony PlayStation/Tekken 3 (USA)/Tekken 3 (USA).json
Sony PlayStation || Tetris Plus (USA) || Sony/Sony PlayStation/Tetris Plus (USA)/Tetris Plus (USA).json
Sony PlayStation || Threads of Fate (USA) || Sony/Sony PlayStation/Threads of Fate (USA)/Threads of Fate (USA).json
Sony PlayStation || Thrill Kill (USA) (Proto) (1998-08-10) || Sony/Sony PlayStation/Thrill Kill (USA) (Proto) (1998-08-10)/Thrill Kill (USA) (Proto) (1998-08-10).json
Sony PlayStation || Thrill Kill (USA) (Proto) (1998-10-13) || Sony/Sony PlayStation/Thrill Kill (USA) (Proto) (1998-10-13)/Thrill Kill (USA) (Proto) (1998-10-13).json
Sony PlayStation || Titan A.E. (USA) (Demo) || Sony/Sony PlayStation/Titan A.E. (USA) (Demo)/Titan A.E. (USA) (Demo).json
Sony PlayStation || Tom Clancy's Rainbow Six (USA) || Sony/Sony PlayStation/Tom Clancy's Rainbow Six (USA)/Tom Clancy's Rainbow Six (USA).json
Sony PlayStation || Tomb Raider (USA) (v1.6) || Sony/Sony PlayStation/Tomb Raider (USA) (v1.6)/Tomb Raider (USA) (v1.6).json
Sony PlayStation || Tomb Raider II - Starring Lara Croft (USA) (v1.3) || Sony/Sony PlayStation/Tomb Raider II - Starring Lara Croft (USA) (v1.3)/Tomb Raider II - Starring Lara Croft (USA) (v1.3).json
Sony PlayStation || Tomb Raider III - Adventures of Lara Croft (USA) (v1.2) || Sony/Sony PlayStation/Tomb Raider III - Adventures of Lara Croft (USA) (v1.2)/Tomb Raider III - Adventures of Lara Croft (USA) (v1.2).json
Sony PlayStation || Tomba! (USA) || Sony/Sony PlayStation/Tomba! (USA)/Tomba! (USA).json
Sony PlayStation || Tomba! 2 - The Evil Swine Return (USA) || Sony/Sony PlayStation/Tomba! 2 - The Evil Swine Return (USA)/Tomba! 2 - The Evil Swine Return (USA).json
Sony PlayStation || Twisted Metal (USA) || Sony/Sony PlayStation/Twisted Metal (USA)/Twisted Metal (USA).json
Sony PlayStation || Unholy War, The (USA) || Sony/Sony PlayStation/Unholy War, The (USA)/Unholy War, The (USA).json
Sony PlayStation || Vagrant Story (USA) || Sony/Sony PlayStation/Vagrant Story (USA)/Vagrant Story (USA).json
Sony PlayStation || Vampire Hunter D (USA) || Sony/Sony PlayStation/Vampire Hunter D (USA)/Vampire Hunter D (USA).json
Sony PlayStation || Vandal Hearts (USA) || Sony/Sony PlayStation/Vandal Hearts (USA)/Vandal Hearts (USA).json
Sony PlayStation || Vandal Hearts II (USA) || Sony/Sony PlayStation/Vandal Hearts II (USA)/Vandal Hearts II (USA).json
Sony PlayStation || Vanguard Bandits (USA) || Sony/Sony PlayStation/Vanguard Bandits (USA)/Vanguard Bandits (USA).json
Sony PlayStation || Vib-Ribbon (Europe) (En,Fr,De,Es,It) || Sony/Sony PlayStation/Vib-Ribbon (Europe) (En,Fr,De,Es,It)/Vib-Ribbon (Europe) (En,Fr,De,Es,It).json
Sony PlayStation || Virus - It Is Aware (Europe) (En,Fr,De,Es,It) || Sony/Sony PlayStation/Virus - It Is Aware (Europe) (En,Fr,De,Es,It)/Virus - It Is Aware (Europe) (En,Fr,De,Es,It).json
Sony PlayStation || Wild Arms (USA) || Sony/Sony PlayStation/Wild Arms (USA)/Wild Arms (USA).json
Sony PlayStation || Wild Arms 2 (USA) || Sony/Sony PlayStation/Wild Arms 2 (USA)/Wild Arms 2 (USA).json
Sony PlayStation || Witch of Salzburg, The (Japan) || Sony/Sony PlayStation/Witch of Salzburg, The (Japan)/Witch of Salzburg, The (Japan).json
Sony PlayStation || Wizardry - Llylgamyn Saga (Japan) (En,Ja) || Sony/Sony PlayStation/Wizardry - Llylgamyn Saga (Japan) (En,Ja)/Wizardry - Llylgamyn Saga (Japan) (En,Ja).json
Sony PlayStation || Wolf Fang - Kuuga 2001 (Japan) || Sony/Sony PlayStation/Wolf Fang - Kuuga 2001 (Japan)/Wolf Fang - Kuuga 2001 (Japan).json
Sony PlayStation || Wreckin Crew - Drive Dangerously (USA) (En,Es) || Sony/Sony PlayStation/Wreckin Crew - Drive Dangerously (USA) (En,Es)/Wreckin Crew - Drive Dangerously (USA) (En,Es).json
Sony PlayStation || X-Files, The (USA) || Sony/Sony PlayStation/X-Files, The (USA)/X-Files, The (USA).json
Sony PlayStation || Xenogears (USA) || Sony/Sony PlayStation/Xenogears (USA)/Xenogears (USA).json
Sony PlayStation || Zero Divide (USA) || Sony/Sony PlayStation/Zero Divide (USA)/Zero Divide (USA).json
